G10B,City ,2 mins
G10,Marion (continues to Glenelg) ,19 mins
G10B,City ,34 mins
G10,Marion (continues to Glenelg) ,48 mins
G10,Blair Athol ,4 mins
G10,Blair Athol ,19 mins
G10,Blair Athol ,39 mins
G10,Blair Athol ,47 mins
G10,Blair Athol ,5 mins
G10,Blair Athol ,20 mins
G10,Blair Athol ,40 mins
G10,Blair Athol ,48 mins
G10B,City ,2 mins
G10,Marion (continues to Glenelg) ,19 mins
G10B,City ,34 mins
G10,Marion (continues to Glenelg) ,48 mins
G10,Blair Athol ,4 mins
G10,Blair Athol ,18 mins
G10,Blair Athol ,38 mins
G10,Blair Athol ,46 mins
